4562512,Aguadilla,Aguadilla,"AGL,Aguadilla,Guadilla,Guadiya,La Villa de Ojo de Agua,La Villa del Ojo de Agua",18.42745,-67.15407,A,ADM1,PR,,5,,,,60949,7,7,America/Puerto_Rico,4/14/19
4562513,Aguas Buenas,Aguas Buenas,,18.2569,-66.10294,P,PPLA,PR,,7,7268173,,,4576,258,259,America/Puerto_Rico,8/3/15
4562515,Aguas Buenas Post Office,Aguas Buenas Post Office,,18.25634,-66.10294,S,PO,PR,,7,7268173,,,0,253,259,America/Puerto_Rico,8/3/15
4562516,Aguas Buenas,Aguas Buenas,"ABU,Aguas Buenas,La Ciudad de las Aguas Claras",18.2569,-66.10294,A,ADM1,PR,,7,,,,28659,258,259,America/Puerto_Rico,4/14/19
4562517,Aguas Claras,Aguas Claras,Parcelas Aguas Claras,18.25273,-65.6535,P,PPL,PR,,37,7268072,,,3499,31,34,America/Puerto_Rico,8/3/15
4562518,Aguas Largas,Aguas Largas,,18.15774,-66.31017,T,VAL,PR,,9,,,,0,582,587,America/Puerto_Rico,2/16/07
4562520,Playa Aguila,Playa Aguila,Puerto Argelino Beach,17.97941,-67.21435,T,BCH,PR,,23,7268260,,,0,0,10,America/Puerto_Rico,8/3/15
4562521,Punta Aguila,Punta Aguila,,17.95247,-67.21435,T,CAPE,PR,,23,,,,0,5,1,America/Puerto_Rico,2/16/07
4562522,Punta Aguila,Punta Aguila,,18.3519,-65.57266,T,CAPE,PR,,53,,,,0,7,6,America/Puerto_Rico,2/16/07
4562523,Punta Aguila,Punta Aguila,,17.95497,-66.36961,T,CAPE,PR,,133,,,,0,-1,-1,America/Puerto_Rico,2/16/07
4562524,Aguilita,Aguilita,,18.0233,-66.53462,P,PPL,PR,,75,7268943,,,4922,26,29,America/Puerto_Rico,8/3/15
4562525,Aguirre Golf Club,Aguirre Golf Club,,17.96136,-66.23295,S,RECG,PR,,123,7268174,,,0,44,46,America/Puerto_Rico,8/3/15
4562526,Aguirre Private School,Aguirre Private School,,17.95552,-66.22433,S,SCH,PR,,123,7268174,,,0,10,9,America/Puerto_Rico,8/3/15
4562527,Punta Agujereada,Punta Agujereada,"La Punta de Layouada,Punta Agueratia,Punta Aquiereada,Punta de Aigade,Punta del Aguada",18.508,-67.1374,T,CAPE,PR,,5,,,,0,0,41,America/Puerto_Rico,2/16/07
4562528,Agustin Stahl,Agustin Stahl,,18.40161,-66.05044,S,BLDG,PR,,127,7269058,,,0,26,31,America/Puerto_Rico,8/3/15
4562529,Aibonito,Aibonito,Jatibonicu,18.13996,-66.266,P,PPLA,PR,,9,7268178,,,8947,604,607,America/Puerto_Rico,8/3/15
4562531,Aibonito,Aibonito,"AIB,Aibonito,La Ciudad de las Flores,La Suiza de Puerto Rico",18.13996,-66.266,A,ADM1,PR,,9,,,,26493,604,607,America/Puerto_Rico,4/14/19
4562532,Alamar,Alamar,,18.36523,-65.721,P,PPL,PR,,9,,,,0,6,7,America/Puerto_Rico,2/16/07
